level;n_post_2018;p_post_2018;n_pre_2018;p_pre_2018;n_matching;p_matching;n_no_matching;p_no_matching;n_DM2;p_DM2;n_no_DM2;p_no_DM2;n_low;p_low;n_moderate;p_moderate;n_serious;p_serious;n_critical;p_critical;total
studies;8;50;8;50;2;12.5;14;87.5;7;43.75;9;56.25;1;6.25;6;37.5;6;37.5;3;18.75;16
patients;474;26.25;1332;73.75;135;7.48;1671;92.52;1128;62.46;678;37.54;117;6.48;285;15.78;409;22.65;995;55.09;1806
