country;percentage
New Zealand;a. 4,55%
India;a. 4,55%
Germany;a. 4,55%
Turkey;b. 9,09%
Korea;b. 9,09%
China;b. 9,09%
Italy;c. 18,18%
USA;d. 40,90%
